date,spy_open,previous_close,gap_pct,first_1m_return,net_movement,opening_range_high,opening_range_low,opening_range_width,breakout_direction,volatility,volume,rvol_10d,vix_at_open,entry_price,outcome_label,label,max_gain_reached,max_drawdown_reached
2023-02-14,411.24,412.85,-0.39,-0.231,-0.2249,411.39,409.49,1.9,DOWN,0.7258,2625663,1.0,18.91,410.315,TAKE,TAKE,1.154,-0.0695
2023-02-15,410.35,412.58,-0.5405,0.0195,0.1121,411.0,410.1425,0.8575,UP,0.3715,1752017,0.6673,18.72,410.81,FAIL_FAKEOUT,PASS,0.1996,-0.3262
2023-02-16,408.79,413.85,-1.2227,0.115,0.0978,409.54,408.74,0.8,UP,0.416,2278548,1.041,19.48,409.19,FAIL_FAKEOUT,PASS,0.3544,-0.2273
2023-02-17,406.06,408.1,-0.4999,0.0099,0.1392,406.67,405.65,1.02,UP,0.3641,2163353,0.975,20.88,406.6252,FAIL_FAKEOUT,PASS,0.102,-0.6013
2023-02-21,403.06,407.11,-0.9948,0.1191,0.1861,403.87,403.05,0.82,UP,0.3955,1945004,0.8821,22.32,403.81,FAIL_FAKEOUT,PASS,0.0867,-0.5718
2023-02-22,399.52,399.4,0.03,0.0388,0.0226,400.02,399.36,0.66,UP,0.367,1577690,0.7328,23.29,399.6101,FAIL_FAKEOUT,PASS,0.2152,-0.4254
2023-02-23,401.56,398.56,0.7527,-0.0249,-0.0672,401.7096,401.135,0.5746,DOWN,0.3346,2750929,1.3373,21.55,401.29,PASS,PASS,0.2268,-0.1944
2023-02-24,395.42,400.68,-1.3128,0.0329,0.1037,395.95,395.17,0.78,UP,0.36,2789556,1.2938,22.27,395.83,FAIL_FAKEOUT,PASS,0.1617,-0.5002
2023-02-27,399.87,396.18,0.9314,-0.0325,-0.1455,400.03,399.26,0.77,DOWN,0.3206,2676047,1.1972,21.39,399.2883,TAKE,TAKE,0.5013,-0.0522
2023-02-28,397.23,397.89,-0.1659,-0.0277,-0.1435,397.35,396.45,0.9,DOWN,0.272,1802795,0.7892,21.12,396.66,TAKE,TAKE,0.4109,-0.005
2023-03-01,395.41,395.9,-0.1238,-0.0455,0.0025,395.83,395.17,0.66,UP,0.363,2706962,1.2105,20.73,395.42,TAKE,TAKE,0.3212,-0.3515
2023-03-02,392.68,394.69,-0.5093,0.0713,0.0993,393.1585,392.53,0.6285,UP,0.3747,2321771,1.0345,21.02,393.0701,PASS,PASS,0.2671,-0.1883
2023-03-03,399.71,397.81,0.4776,-0.1151,-0.0976,399.81,399.155,0.655,DOWN,0.287,2041003,0.8869,19.42,399.32,TAKE,TAKE,0.5184,-0.0726
2023-03-06,405.05,403.93,0.2773,-0.0123,0.087,405.75,404.76,0.99,UP,0.385,2593216,1.1386,18.89,405.4024,TAKE,TAKE,0.4015,-0.0771
2023-03-07,404.42,404.51,-0.0222,-0.0396,-0.0074,404.5,404.1,0.4,DOWN,0.223,1131899,0.4878,18.84,404.3899,FAIL_FAKEOUT,PASS,0.0693,-0.9594
2023-03-08,398.39,398.53,-0.0351,0.1029,-0.0176,399.1,398.32,0.78,DOWN,0.373,1560182,0.6968,19.75,398.32,FAIL_FAKEOUT,PASS,0.2335,-0.3741
2023-03-09,399.74,398.87,0.2181,-0.01,0.1363,400.29,399.38,0.91,UP,0.37,1615995,0.7223,19.21,400.285,FAIL_FAKEOUT,PASS,0.2985,-0.2186
2023-03-10,390.99,391.82,-0.2118,-0.1356,-0.2634,391.2,389.91,1.29,DOWN,0.704,4367776,2.0564,22.71,389.96,FAIL_FAKEOUT,PASS,0.1718,-0.636
2023-03-13,381.81,385.97,-1.0778,0.0629,-0.0262,382.7,381.25,1.45,DOWN,0.923,4961567,2.1744,30.27,381.71,FAIL_FAKEOUT,PASS,1.4671,-0.2777
2023-03-14,390.5,385.48,1.3023,0.0294,-0.1306,390.86,389.9014,0.9586,DOWN,0.5147,4465083,1.7787,23.69,389.99,TAKE,TAKE,0.6154,-0.0205
2023-03-15,385.89,391.62,-1.4632,0.0726,0.1892,387.16,385.7,1.46,UP,0.674,3858227,1.3896,26.85,386.62,FAIL_FAKEOUT,PASS,0.2845,-0.4061
2023-03-16,386.82,389.45,-0.6753,-0.0259,0.0721,387.32,386.29,1.03,UP,0.518,2605096,0.9009,27.29,387.099,TAKE,TAKE,0.5305,-0.1315
2023-03-17,393.22,395.8,-0.6518,0.1055,-0.0636,393.75,392.95,0.8,DOWN,0.464,4583858,1.5698,23.62,392.97,TAKE,TAKE,0.3639,-0.6199
2023-03-20,390.8,390.59,0.0538,0.1045,-0.0333,391.98,390.54,1.44,DOWN,0.755,3022129,0.9521,25.99,390.67,TAKE,TAKE,0.5171,-0.1536
2023-03-21,397.24,393.55,0.9376,0.0931,0.1561,397.99,397.22,0.77,UP,0.312,2404451,0.7474,22.51,397.86,FAIL_FAKEOUT,PASS,0.1205,-0.4549
2023-03-22,398.73,398.95,-0.0551,-0.0326,-0.1066,398.875,398.09,0.785,DOWN,0.3768,2072254,0.6196,20.89,398.305,TAKE,TAKE,0.3954,-0.0565
2023-03-23,395.09,392.8,0.583,0.1341,0.0886,395.73,395.02,0.71,UP,0.3692,2411159,0.7101,20.85,395.4401,TAKE,TAKE,0.4602,-0.1315
2023-03-24,391.841,393.0,-0.2949,-0.0692,-0.1735,391.98,390.7,1.28,DOWN,0.48,2513211,0.7232,23.67,391.1611,FAIL_FAKEOUT,PASS,0.4164,-0.4502
2023-03-27,398.12,395.67,0.6192,-0.005,0.0841,398.46,397.9504,0.5096,UP,0.2911,1859524,0.5653,21.36,398.455,FAIL_FAKEOUT,PASS,0.1167,-0.4555
2023-03-28,395.77,396.44,-0.169,-0.067,-0.0796,395.84,394.97,0.87,DOWN,0.3157,1631675,0.5476,20.96,395.455,PASS,PASS,0.2617,-0.0999
2023-03-29,399.925,395.82,1.0371,-0.0688,-0.1138,399.93,399.425,0.505,DOWN,0.2606,2234277,0.8287,19.22,399.47,PASS,PASS,0.2003,-0.0501
2023-03-30,404.09,401.15,0.7329,-0.0619,-0.0618,404.14,403.71,0.43,DOWN,0.252,2255372,0.8901,19.01,403.8401,FAIL_FAKEOUT,PASS,0.1263,-0.254
2023-03-31,404.66,403.71,0.2353,0.0667,0.1779,405.4,404.55,0.85,UP,0.275,2389608,0.9563,18.93,405.38,PASS,PASS,0.1505,-0.0395
2023-04-03,408.85,409.18,-0.0806,0.0245,0.1481,409.49,408.82,0.67,UP,0.228,1888762,0.8286,19.58,409.4555,TAKE,TAKE,0.4676,-0.016
2023-04-04,411.62,410.83,0.1923,-0.0437,-0.0534,411.68,411.13,0.55,DOWN,0.2157,1397263,0.6451,18.91,411.4,FAIL_FAKEOUT,PASS,0.1264,-0.3427
2023-04-05,407.91,408.68,-0.1884,0.0466,0.0294,408.285,407.8,0.485,UP,0.23,1655588,0.8016,19.69,408.03,FAIL_FAKEOUT,PASS,0.1642,-0.2034
2023-04-06,406.77,407.66,-0.2183,-0.0025,-0.1376,406.9,406.13,0.77,DOWN,0.23,1259791,0.6225,19.7,406.2101,PASS,PASS,0.2658,-0.131
2023-04-10,406.61,409.13,-0.6159,0.0,-0.0664,406.84,406.08,0.76,DOWN,0.293,1794539,0.9403,19.92,406.34,PASS,PASS,0.1993,-0.0911
