date,time,open,high,low,close,volume
2023-02-14,09:30,411.24,411.39,410.25,410.29,839256
2023-02-14,09:31,410.28,410.3301,409.6,409.71,562644
2023-02-14,09:32,409.7,410.08,409.49,409.62,515030
2023-02-14,09:33,409.62,410.0588,409.59,409.7606,361897
2023-02-14,09:34,409.79,410.47,409.77,410.315,346836
2023-02-15,09:30,410.35,410.53,410.18,410.4301,568372
2023-02-15,09:31,410.445,410.85,410.1425,410.69,477210
2023-02-15,09:32,410.71,410.92,410.67,410.82,267766
2023-02-15,09:33,410.83,410.95,410.6,410.9,240220
2023-02-15,09:34,410.9,411.0,410.8,410.81,198449
2023-02-16,09:30,408.79,409.39,408.74,409.26,878025
2023-02-16,09:31,409.25,409.45,409.09,409.35,454923
2023-02-16,09:32,409.34,409.54,409.16,409.405,410088
2023-02-16,09:33,409.41,409.44,409.23,409.3,257909
2023-02-16,09:34,409.31,409.45,408.97,409.19,277603
2023-02-17,09:30,406.06,406.13,405.87,406.1,729491
2023-02-17,09:31,406.1,406.11,405.65,405.864,423421
2023-02-17,09:32,405.9,406.14,405.86,405.99,340584
2023-02-17,09:33,406.01,406.29,405.96,406.18,327036
2023-02-17,09:34,406.19,406.67,406.1793,406.6252,342821
2023-02-21,09:30,403.06,403.66,403.05,403.54,679278
2023-02-21,09:31,403.53,403.54,403.23,403.3,427294
2023-02-21,09:32,403.28,403.6701,403.1523,403.63,345925
2023-02-21,09:33,403.63,403.84,403.53,403.795,291566
2023-02-21,09:34,403.8,403.87,403.6401,403.81,200941
2023-02-22,09:30,399.52,399.798,399.36,399.675,587198
2023-02-22,09:31,399.67,399.87,399.41,399.78,303686
2023-02-22,09:32,399.79,400.02,399.75,399.82,219625
2023-02-22,09:33,399.85,400.01,399.73,399.815,224813
2023-02-22,09:34,399.83,399.96,399.5729,399.6101,242368
2023-02-23,09:30,401.56,401.69,401.33,401.46,1140287
2023-02-23,09:31,401.45,401.53,401.29,401.39,385689
2023-02-23,09:32,401.39,401.48,401.135,401.44,372068
2023-02-23,09:33,401.42,401.7085,401.42,401.55,405920
2023-02-23,09:34,401.57,401.7096,401.27,401.29,446965
2023-02-24,09:30,395.42,395.7,395.31,395.55,780451
2023-02-24,09:31,395.54,395.57,395.17,395.25,613004
2023-02-24,09:32,395.26,395.73,395.23,395.67,551369
2023-02-24,09:33,395.68,395.84,395.54,395.83,430863
2023-02-24,09:34,395.83,395.95,395.74,395.83,413869
2023-02-27,09:30,399.87,400.03,399.64,399.74,933728
2023-02-27,09:31,399.73,399.83,399.585,399.585,608955
2023-02-27,09:32,399.6,399.7582,399.46,399.585,477860
2023-02-27,09:33,399.585,399.74,399.49,399.65,352303
2023-02-27,09:34,399.65,399.68,399.26,399.2883,303201
2023-02-28,09:30,397.23,397.35,397.01,397.1201,509348
2023-02-28,09:31,397.11,397.19,396.98,397.09,288841
2023-02-28,09:32,397.08,397.13,396.89,396.92,303011
2023-02-28,09:33,396.93,396.97,396.72,396.77,290311
2023-02-28,09:34,396.76,396.77,396.45,396.66,411284
2023-03-01,09:30,395.41,395.6,395.17,395.23,1000568
2023-03-01,09:31,395.21,395.7,395.17,395.6205,613093
2023-03-01,09:32,395.63,395.83,395.51,395.61,453012
2023-03-01,09:33,395.59,395.61,395.32,395.55,321892
2023-03-01,09:34,395.55,395.55,395.305,395.42,318397
2023-03-02,09:30,392.68,393.025,392.53,392.96,698617
2023-03-02,09:31,392.95,392.96,392.57,392.71,472210
2023-03-02,09:32,392.7,392.89,392.57,392.83,388443
2023-03-02,09:33,392.83,392.94,392.7499,392.85,427556
2023-03-02,09:34,392.86,393.1585,392.68,393.0701,334945
2023-03-03,09:30,399.71,399.81,399.21,399.25,815252
2023-03-03,09:31,399.25,399.43,399.17,399.31,366730
2023-03-03,09:32,399.31,399.4301,399.23,399.3,263160
2023-03-03,09:33,399.3,399.39,399.19,399.22,290489
2023-03-03,09:34,399.24,399.33,399.155,399.32,305372
2023-03-06,09:30,405.05,405.25,404.85,405.0,889895
2023-03-06,09:31,404.99,405.03,404.7899,404.85,399732
2023-03-06,09:32,404.85,405.26,404.76,405.155,464127
