date,spy_open,previous_close,gap_pct,first_1m_return,net_movement,opening_range_high,opening_range_low,opening_range_width,breakout_direction,volatility,volume,volume_ratio,label
2024-03-04,512.03,512.75,-0.1404,0.0332,0.0332,512.3,512.02,0.28,UP,0.2026,1677812,1.0,PASS
2024-03-05,510.24,512.13,-0.369,0.0059,-0.0882,510.32,509.76,0.56,DOWN,0.24,1560806,0.9303,PASS
2024-03-06,510.55,507.34,0.6327,-0.0118,-0.0294,510.8504,510.35,0.5004,DOWN,0.3044,1795065,1.1085,PASS
2024-03-07,513.14,509.96,0.6236,-0.0604,0.0068,513.32,512.72,0.6,UP,0.31,1448033,0.863,PASS
2024-03-08,515.46,514.81,0.1263,0.0349,0.1319,516.24,515.31,0.93,UP,0.444,1694504,1.0457,PASS
2024-03-11,510.48,512.24,-0.3436,0.0813,-0.0509,510.94,510.19,0.75,DOWN,0.442,2136834,1.3067,PASS
2024-03-12,513.45,511.38,0.4048,0.0253,-0.1013,513.8,512.89,0.91,DOWN,0.428,1663323,0.9677,PASS
2024-03-13,517.11,516.81,0.058,-0.0251,-0.0851,517.12,516.66,0.46,DOWN,0.221,1055301,0.6168,PASS
2024-03-14,516.97,516.07,0.1744,-0.0232,-0.0561,517.0112,516.4,0.6112,DOWN,0.2623,1228947,0.7544,PASS
2024-03-15,510.21,514.85,-0.9012,0.0823,0.1235,511.33,510.03,1.3,UP,0.583,4699961,2.9662,PASS
2024-03-18,514.0,510.0,0.7843,0.0233,0.1381,514.7301,513.26,1.4701,UP,0.386,2515132,1.3265,PASS
2024-03-19,512.15,512.65,-0.0975,-0.0722,-0.0742,512.16,511.32,0.84,DOWN,0.385,1377493,0.7056,PASS
2024-03-20,515.77,515.81,-0.0078,0.0116,-0.0504,515.99,515.48,0.51,DOWN,0.2632,1015935,0.5335,PASS
2024-03-21,523.39,520.23,0.6074,-0.0583,-0.0707,523.5,522.92,0.58,DOWN,0.2103,1456680,0.7934,PASS
2024-03-22,522.11,522.22,-0.0211,-0.0077,-0.0287,522.38,521.76,0.62,DOWN,0.294,1090538,0.6028,PASS
2024-03-25,519.8,521.3,-0.2877,0.0327,0.0866,520.36,519.695,0.665,UP,0.208,1120959,0.6365,PASS
2024-03-26,521.23,520.04,0.2288,-0.0422,0.0249,521.44,520.88,0.56,UP,0.246,875203,0.5085,PASS
2024-03-27,521.71,519.13,0.497,-0.0364,-0.0498,521.78,521.35,0.43,DOWN,0.204,1592307,0.9527,PASS
2024-03-28,523.21,523.15,0.0115,-0.0287,-0.0382,523.27,522.84,0.43,DOWN,0.184,992196,0.5952,PASS
2024-04-01,523.83,523.01,0.1568,-0.0458,0.0346,524.11,523.45,0.66,UP,0.2298,1420289,0.8706,PASS
2024-04-02,518.24,522.15,-0.7488,0.0347,-0.056,518.46,517.89,0.57,DOWN,0.2621,2673208,1.6492,PASS
2024-04-03,517.72,518.87,-0.2216,0.0029,0.0946,518.34,517.665,0.675,UP,0.2891,1264302,0.7568,PASS
2024-04-04,523.52,519.73,0.7292,-0.0382,0.0019,523.7,523.22,0.48,UP,0.21,2656455,1.6043,PASS
2024-04-05,514.46,513.37,0.2123,-0.0194,0.0638,515.18,514.01,1.17,UP,0.425,1969531,1.1593,PASS
2024-04-08,519.15,518.34,0.1563,-0.0231,-0.0356,519.39,518.91,0.48,DOWN,0.351,1231061,0.7137,PASS
2024-04-09,520.5,518.78,0.3315,-0.0327,-0.0845,520.75,520.04,0.71,DOWN,0.3319,1585784,0.9318,PASS
2024-04-10,513.48,519.61,-1.1797,-0.0389,-0.0175,513.66,512.76,0.9,DOWN,0.536,2257006,1.3481,PASS
2024-04-11,515.68,513.87,0.3522,-0.0349,-0.0562,515.87,514.82,1.05,DOWN,0.442,1788001,1.0493,PASS
2024-04-12,514.37,517.92,-0.6854,0.035,0.1186,515.28,514.08,1.2,UP,0.4502,2070340,1.1895,PASS
2024-04-15,515.13,510.99,0.8102,-0.0835,-0.1417,515.3,514.34,0.96,DOWN,0.41,2977244,1.6702,PASS
2024-04-16,504.94,504.16,0.1547,-0.0198,0.0277,505.2,504.56,0.64,UP,0.416,2041093,1.2031,PASS
2024-04-17,506.05,503.16,0.5744,-0.0771,-0.0978,506.12,505.4501,0.6699,DOWN,0.453,1942033,1.161,PASS
2024-04-18,501.98,500.05,0.386,0.008,-0.1763,502.08,501.09,0.99,DOWN,0.3988,1830675,1.0762,PASS
2024-04-19,499.44,499.69,-0.05,-0.1011,-0.022,499.73,498.6899,1.0401,DOWN,0.513,1610722,0.9248,PASS
