date,time,open,high,low,close,volume
2024-03-04,09:30,512.03,512.28,512.02,512.1998,699410
2024-03-04,09:31,512.2,512.26,512.05,512.24,212126
2024-03-04,09:32,512.23,512.3,512.13,512.1401,216552
2024-03-04,09:33,512.18,512.255,512.06,512.13,361787
2024-03-04,09:34,512.14,512.2181,512.04,512.2,187937
2024-03-05,09:30,510.24,510.31,510.08,510.27,541265
2024-03-05,09:31,510.26,510.32,510.125,510.26,237426
2024-03-05,09:32,510.26,510.31,510.03,510.05,280624
2024-03-05,09:33,510.06,510.09,509.815,509.88,283728
2024-03-05,09:34,509.89,509.98,509.76,509.79,217763
2024-03-06,09:30,510.55,510.7813,510.35,510.49,588142
2024-03-06,09:31,510.47,510.77,510.45,510.66,385805
2024-03-06,09:32,510.66,510.74,510.57,510.62,278766
2024-03-06,09:33,510.62,510.8504,510.61,510.74,284322
2024-03-06,09:34,510.7405,510.7405,510.38,510.4,258030
2024-03-07,09:30,513.14,513.32,512.72,512.8301,632354
2024-03-07,09:31,512.83,513.01,512.82,512.98,172232
2024-03-07,09:32,512.95,513.07,512.87,512.98,157896
2024-03-07,09:33,512.99,513.105,512.92,512.935,249314
2024-03-07,09:34,512.94,513.18,512.805,513.175,236237
2024-03-08,09:30,515.46,515.9,515.36,515.64,653454
2024-03-08,09:31,515.62,515.93,515.31,515.85,273819
2024-03-08,09:32,515.84,516.1,515.72,515.82,267007
2024-03-08,09:33,515.82,516.14,515.75,516.08,282489
2024-03-08,09:34,516.1,516.24,515.95,516.14,217735
2024-03-11,09:30,510.48,510.94,510.36,510.895,639648
2024-03-11,09:31,510.89,510.93,510.56,510.61,412286
2024-03-11,09:32,510.66,510.69,510.28,510.58,491006
2024-03-11,09:33,510.58,510.64,510.19,510.31,299882
2024-03-11,09:34,510.28,510.59,510.19,510.22,294012
2024-03-12,09:30,513.45,513.76,513.36,513.58,663611
2024-03-12,09:31,513.59,513.72,513.33,513.59,266411
2024-03-12,09:32,513.57,513.8,513.41,513.465,242692
2024-03-12,09:33,513.47,513.63,513.26,513.47,232235
2024-03-12,09:34,513.465,513.48,512.89,512.93,258374
2024-03-13,09:30,517.11,517.12,516.88,516.98,382129
2024-03-13,09:31,516.97,516.98,516.73,516.76,208468
2024-03-13,09:32,516.75,516.905,516.66,516.74,158832
2024-03-13,09:33,516.75,516.92,516.71,516.8,154740
2024-03-13,09:34,516.79,516.83,516.67,516.67,151132
2024-03-14,09:30,516.97,517.0112,516.75,516.85,416273
2024-03-14,09:31,516.86,516.93,516.71,516.76,192007
2024-03-14,09:32,516.77,516.81,516.58,516.6101,146940
2024-03-14,09:33,516.62,516.69,516.4299,516.43,204934
2024-03-14,09:34,516.43,516.74,516.4,516.68,268793
2024-03-15,09:30,510.21,510.86,510.03,510.63,2373339
2024-03-15,09:31,510.64,510.98,510.48,510.765,777913
2024-03-15,09:32,510.77,511.33,510.69,511.05,672390
2024-03-15,09:33,511.04,511.12,510.67,510.72,481792
2024-03-15,09:34,510.71,511.115,510.62,510.84,394527
2024-03-18,09:30,514.0,514.15,513.26,514.12,789828
2024-03-18,09:31,514.11,514.55,514.1,514.55,484977
2024-03-18,09:32,514.56,514.67,514.5,514.5901,421744
2024-03-18,09:33,514.6,514.73,514.55,514.63,395459
2024-03-18,09:34,514.62,514.7301,514.49,514.71,423124
2024-03-19,09:30,512.15,512.16,511.725,511.78,433062
2024-03-19,09:31,511.78,511.83,511.32,511.471,333711
2024-03-19,09:32,511.46,511.775,511.43,511.67,200492
2024-03-19,09:33,511.69,511.88,511.6,511.8,216065
2024-03-19,09:34,511.79,512.015,511.66,511.77,194163
2024-03-20,09:30,515.77,515.99,515.68,515.83,387989
2024-03-20,09:31,515.83,515.93,515.6188,515.72,171304
2024-03-20,09:32,515.73,515.74,515.525,515.695,188415
2024-03-20,09:33,515.7,515.79,515.61,515.79,160087
2024-03-20,09:34,515.78,515.78,515.48,515.51,108140
2024-03-21,09:30,523.39,523.5,523.0824,523.085,660846
2024-03-21,09:31,523.09,523.17,522.995,523.06,225871
2024-03-21,09:32,523.059,523.15,523.03,523.1,200730
2024-03-21,09:33,523.09,523.15,522.9513,522.9813,199659
2024-03-21,09:34,522.98,523.06,522.92,523.02,169574
2024-03-22,09:30,522.11,522.25,522.03,522.07,342009
2024-03-22,09:31,522.085,522.38,522.04,522.369,199948
2024-03-22,09:32,522.36,522.36,521.9399,521.99,229433
2024-03-22,09:33,522.0,522.0,521.8001,521.9,199622
2024-03-22,09:34,521.91,522.05,521.76,521.96,119526
2024-03-25,09:30,519.8,520.025,519.695,519.97,396965
2024-03-25,09:31,519.97,520.1199,519.8999,520.105,142252
2024-03-25,09:32,520.1112,520.23,520.09,520.17,205138
2024-03-25,09:33,520.18,520.36,520.17,520.23,201813
2024-03-25,09:34,520.24,520.33,520.17,520.25,174791
2024-03-26,09:30,521.23,521.26,520.92,521.01,329200
2024-03-26,09:31,521.03,521.11,520.88,521.07,186082
2024-03-26,09:32,521.05,521.32,521.04,521.22,144430
2024-03-26,09:33,521.23,521.36,521.15,521.2896,120104
2024-03-26,09:34,521.3,521.44,521.27,521.36,95387
2024-03-27,09:30,521.71,521.78,521.4,521.52,808116
2024-03-27,09:31,521.52,521.65,521.5,521.58,167799
2024-03-27,09:32,521.56,521.58,521.41,521.45,250283
2024-03-27,09:33,521.45,521.5,521.35,521.455,203997
2024-03-27,09:34,521.45,521.56,521.39,521.45,162112
2024-03-28,09:30,523.21,523.27,522.96,523.06,410175
2024-03-28,09:31,523.07,523.11,522.86,522.94,165535
2024-03-28,09:32,522.925,522.95,522.85,522.9399,192829
2024-03-28,09:33,522.94,522.98,522.84,522.905,118783
2024-03-28,09:34,522.91,523.02,522.9,523.01,104874
2024-04-01,09:30,523.83,523.84,523.5509,523.59,632019
2024-04-01,09:31,523.58,523.63,523.45,523.61,253606
2024-04-01,09:32,523.61,523.86,523.59,523.86,175839
2024-04-01,09:33,523.86,524.0,523.81,523.91,184522
2024-04-01,09:34,523.9,524.11,523.89,524.0113,174303
2024-04-02,09:30,518.24,518.46,518.08,518.42,890239
2024-04-02,09:31,518.42,518.42,518.11,518.27,365130
2024-04-02,09:32,518.2701,518.32,518.16,518.185,565385
2024-04-02,09:33,518.19,518.2203,517.95,517.98,264640
2024-04-02,09:34,517.98,518.08,517.89,517.95,587814
2024-04-03,09:30,517.72,518.02,517.665,517.735,496031
2024-04-03,09:31,517.75,518.03,517.72,518.015,250939
2024-04-03,09:32,518.02,518.34,517.98,518.24,172458
2024-04-03,09:33,518.23,518.26,518.02,518.12,201782
2024-04-03,09:34,518.135,518.3003,518.12,518.21,143092
2024-04-04,09:30,523.52,523.7,523.31,523.32,1160012
2024-04-04,09:31,523.31,523.42,523.22,523.2796,355346
2024-04-04,09:32,523.27,523.38,523.23,523.25,501276
2024-04-04,09:33,523.26,523.38,523.24,523.37,423749
2024-04-04,09:34,523.38,523.5399,523.37,523.53,216072
2024-04-05,09:30,514.46,514.54,514.01,514.36,711614
2024-04-05,09:31,514.36,514.81,514.24,514.8099,300072
2024-04-05,09:32,514.81,515.18,514.745,514.88,395113
2024-04-05,09:33,514.88,514.9199,514.54,514.75,246500
2024-04-05,09:34,514.76,514.88,514.67,514.788,316232
2024-04-08,09:30,519.15,519.38,518.985,519.03,523535
2024-04-08,09:31,519.03,519.37,518.93,519.34,252941
2024-04-08,09:32,519.34,519.39,519.05,519.125,150448
2024-04-08,09:33,519.15,519.27,519.01,519.03,167304
